american
,salad,1655
,burger,917
,sandwich,779
,cheese,723
,chicken,693
,fries,598
,steak,404
,salmon,333
,shrimp,316
,chips,291
,pizza,272
,toast,269
,cake,265
,eggs,261
,soup,251
,wings,249
,bacon,247
,wrap,233
,caesar salad,218
,sausage,199
,calamari,190
,chowder,190
,coffee,185
,fish,183
,potatoes,165
ethnic
,salad,304
,chicken,125
,curry,115
,soup,107
,sandwich,100
,naan,94
,biryani,93
,korma,83
,kebab,81
,rice,72
,vindaloo,70
,saag,67
,paratha,61
,tea,59
,paneer,57
,juice,57
,fries,56
,wrap,53
,water,52
,shrimp,48
,cheese,47
,dosa,46
,lassi,45
,lamb,45
,falafel,44
italian
,salad,888
,pizza,595
,chicken,439
,cheese,426
,wrap,341
,steak,256
,sandwich,256
,fries,206
,shrimp,195
,parmigiana,158
,calzone,157
,sausage,151
,ravioli,148
,broccoli,144
,spinach,136
,ham,133
,calamari,133
,caesar salad,132
,dinner,127
,sauce,124
,burger,118
,cake,116
,pasta,115
,salmon,113
,bacon,107
mexican or latin
,burrito,112
,salad,104
,quesadilla,99
,taco,88
,chicken,78
,guacamole,72
,chips,71
,cheese,67
,nachos,55
,beans,53
,salsa,51
,tacos,48
,rice,45
,steak,40
,pollo,39
,fajita,36
,shrimp,33
,enchilada,33
,cream,28
,asada,25
,de pollo,25
,enchiladas,25
,torta,23
,camarones,22
,water,22
cafe
,salad,1450
,sandwich,916
,cheese,761
,pizza,629
,wrap,555
,chicken,545
,tea,399
,ham,381
,fries,337
,steak,325
,calzone,320
,egg,283
,burger,279
,dinner,275
,coffee,255
,latte,236
,cake,230
,beef,202
,turkey,201
,chocolate,201
,chicken salad,192
,club,185
,bacon,185
,toast,178
,sausage,161
deli
,salad,1164
,sandwich,704
,pizza,620
,cheese,593
,chicken,458
,wrap,455
,calzone,320
,ham,298
,steak,288
,fries,276
,dinner,260
,burger,220
,egg,202
,tea,169
,turkey,157
,chicken salad,152
,beef,147
,caesar salad,141
,club,136
,bacon,134
,panini,131
,wings,129
,sausage,122
,fingers,114
,soda,111
bar
,salad,156
,burger,113
,sandwich,81
,fries,71
,cheese,64
,chips,57
,pie,41
,wings,40
,chicken,39
,caesar salad,34
,steak,32
,wrap,31
,light,30
,bacon,30
,nachos,28
,fish,27
,soup,25
,tenders,24
,chicken sandwich,24
,breakfast,23
,steak tips,22
,ipa,21
,chowder,21
,chili,20
,grilled cheese,18
grill
,burger,113
,salad,110
,fries,82
,sandwich,79
,chicken,56
,cheese,51
,wings,32
,eggs,26
,pie,25
,chips,22
,cheeseburger,21
,pizza,21
,margarita,20
,caesar salad,20
,tea,19
,beans,19
,light,18
,pork,17
,chicken sandwich,17
,omelette,17
,chili,16
,water,16
,nachos,15
,ribs,15
,cheese fries,15
asian
,rice,1965
,chicken,1705
,maki,1389
,soup,1300
,fried rice,1157
,sauce,1097
,shrimp,940
,beef,937
,salad,715
,pork,641
,tofu,559
,noodles,528
,tea,469
,vegetables,407
,special,392
,curry,376
,teriyaki,365
,combo,353
,noodle soup,349
,noodle,342
,broccoli,337
,lo mein,316
,duck,266
,tempura,258
,vegetable,253
healthy
,salad,114
,chicken,68
,soup,67
,naan,51
,curry,48
,sandwich,47
,biryani,47
,tea,41
,korma,37
,rice,36
,juice,32
,wrap,31
,vindaloo,30
,paneer,28
,dosa,28
,paratha,26
,water,25
,bowl,24
,combo,23
,tofu,23
,tikka masala,23
,alive,22
,kebab,21
,cheese,21
,shrimp,20
southern
,chicken,9
,cheese,8
,fries,8
,salad,6
,potatoes,4
,chorizo,4
,rice,4
,tacos,3
,shrimp,3
,toast,3
,fruit,3
,greens,3
,sausage,3
,salsa,3
,grits,2
,scallops,2
,sandwich,2
,catfish,2
,fried chicken,2
,fish,2
,guacamole,2
,bacon,2
,home fries,2
,empanada,2
,beans,2
desserts
,cream,28
,sorbet,27
,pie,26
,chocolate,21
,cake,20
,ice cream,20
,vanilla,18
,caramel,14
,sandwich,14
,banana,12
,raspberry,12
,cookies,12
,cheesecake,11
,fudge,11
,large,11
,sundae,10
,strawberry,10
,crunch,10
,chips,9
,medium,9
,pineapple,9
,small,8
,coconut,8
,coffee,8
,chocolate chip,8
